Customer ID,Subscription Status,Shipping Type,Discount Applied,Promo Code Used
253,Yes,Free Shipping,Yes,Yes
254,Yes,2-Day Shipping,Yes,Yes
255,Yes,Store Pickup,Yes,Yes
256,Yes,Free Shipping,Yes,Yes
257,Yes,Express,Yes,Yes
258,Yes,Express,Yes,Yes
259,Yes,Express,Yes,Yes
260,Yes,Standard,Yes,Yes
261,Yes,2-Day Shipping,Yes,Yes
262,Yes,Standard,Yes,Yes
263,Yes,Next Day Air,Yes,Yes
264,Yes,Store Pickup,Yes,Yes
265,Yes,Store Pickup,Yes,Yes
266,Yes,2-Day Shipping,Yes,Yes
267,Yes,Express,Yes,Yes
268,Yes,2-Day Shipping,Yes,Yes
269,Yes,Store Pickup,Yes,Yes
270,Yes,Next Day Air,Yes,Yes
271,Yes,Free Shipping,Yes,Yes
272,Yes,Express,Yes,Yes
273,Yes,2-Day Shipping,Yes,Yes
274,Yes,Express,Yes,Yes
275,Yes,Express,Yes,Yes
276,Yes,Express,Yes,Yes
277,Yes,Express,Yes,Yes
278,Yes,Store Pickup,Yes,Yes
279,Yes,Express,Yes,Yes
280,Yes,Standard,Yes,Yes
281,Yes,2-Day Shipping,Yes,Yes
282,Yes,Standard,Yes,Yes
283,Yes,2-Day Shipping,Yes,Yes
284,Yes,Next Day Air,Yes,Yes
285,Yes,Standard,Yes,Yes
286,Yes,Express,Yes,Yes
287,Yes,Store Pickup,Yes,Yes
288,Yes,2-Day Shipping,Yes,Yes
289,Yes,2-Day Shipping,Yes,Yes
290,Yes,2-Day Shipping,Yes,Yes
291,Yes,Standard,Yes,Yes
292,Yes,Next Day Air,Yes,Yes
293,Yes,Free Shipping,Yes,Yes
294,Yes,Express,Yes,Yes
295,Yes,Store Pickup,Yes,Yes
296,Yes,Store Pickup,Yes,Yes
297,Yes,2-Day Shipping,Yes,Yes
298,Yes,Standard,Yes,Yes
299,Yes,Standard,Yes,Yes
300,Yes,Next Day Air,Yes,Yes
301,Yes,Store Pickup,Yes,Yes
302,Yes,Standard,Yes,Yes
303,Yes,Express,Yes,Yes
304,Yes,Next Day Air,Yes,Yes
305,Yes,Next Day Air,Yes,Yes
306,Yes,2-Day Shipping,Yes,Yes
307,Yes,Express,Yes,Yes
308,Yes,Free Shipping,Yes,Yes
309,Yes,Standard,Yes,Yes
310,Yes,Standard,Yes,Yes
311,Yes,Standard,Yes,Yes
312,Yes,Store Pickup,Yes,Yes
313,Yes,Next Day Air,Yes,Yes
314,Yes,Express,Yes,Yes
315,Yes,Store Pickup,Yes,Yes
316,Yes,Express,Yes,Yes
317,Yes,Free Shipping,Yes,Yes
318,Yes,Standard,Yes,Yes
319,Yes,Standard,Yes,Yes
320,Yes,Standard,Yes,Yes
321,Yes,Standard,Yes,Yes
322,Yes,Free Shipping,Yes,Yes
323,Yes,Standard,Yes,Yes
324,Yes,Next Day Air,Yes,Yes
325,Yes,Standard,Yes,Yes
326,Yes,Free Shipping,Yes,Yes
327,Yes,Store Pickup,Yes,Yes
328,Yes,Free Shipping,Yes,Yes
329,Yes,Free Shipping,Yes,Yes
330,Yes,2-Day Shipping,Yes,Yes
331,Yes,Express,Yes,Yes
332,Yes,Store Pickup,Yes,Yes
333,Yes,2-Day Shipping,Yes,Yes
334,Yes,Standard,Yes,Yes
335,Yes,Next Day Air,Yes,Yes
336,Yes,Standard,Yes,Yes
337,Yes,Express,Yes,Yes
338,Yes,2-Day Shipping,Yes,Yes
339,Yes,Express,Yes,Yes
340,Yes,2-Day Shipping,Yes,Yes
341,Yes,Express,Yes,Yes
342,Yes,Store Pickup,Yes,Yes
343,Yes,Next Day Air,Yes,Yes
344,Yes,Next Day Air,Yes,Yes
345,Yes,Standard,Yes,Yes
346,Yes,Next Day Air,Yes,Yes
347,Yes,Next Day Air,Yes,Yes
348,Yes,Store Pickup,Yes,Yes
349,Yes,Free Shipping,Yes,Yes
350,Yes,2-Day Shipping,Yes,Yes
351,Yes,2-Day Shipping,Yes,Yes
352,Yes,Standard,Yes,Yes
353,Yes,Next Day Air,Yes,Yes
354,Yes,Store Pickup,Yes,Yes
355,Yes,Free Shipping,Yes,Yes
356,Yes,2-Day Shipping,Yes,Yes
357,Yes,Standard,Yes,Yes
358,Yes,Standard,Yes,Yes
359,Yes,Express,Yes,Yes
360,Yes,Store Pickup,Yes,Yes
361,Yes,Standard,Yes,Yes
362,Yes,Free Shipping,Yes,Yes
363,Yes,Free Shipping,Yes,Yes
364,Yes,Free Shipping,Yes,Yes
365,Yes,Free Shipping,Yes,Yes
366,Yes,Standard,Yes,Yes
367,Yes,Store Pickup,Yes,Yes
368,Yes,Store Pickup,Yes,Yes
369,Yes,Standard,Yes,Yes
370,Yes,Store Pickup,Yes,Yes
371,Yes,Express,Yes,Yes
372,Yes,2-Day Shipping,Yes,Yes
373,Yes,Standard,Yes,Yes
374,Yes,Express,Yes,Yes
375,Yes,Store Pickup,Yes,Yes
376,Yes,Standard,Yes,Yes
377,Yes,Express,Yes,Yes
378,Yes,Standard,Yes,Yes
379,Yes,Next Day Air,Yes,Yes
380,Yes,2-Day Shipping,Yes,Yes
381,Yes,Store Pickup,Yes,Yes
382,Yes,Store Pickup,Yes,Yes
383,Yes,Store Pickup,Yes,Yes
384,Yes,Standard,Yes,Yes
385,Yes,2-Day Shipping,Yes,Yes
386,Yes,Next Day Air,Yes,Yes
387,Yes,Express,Yes,Yes
388,Yes,Store Pickup,Yes,Yes
389,Yes,Store Pickup,Yes,Yes
390,Yes,Standard,Yes,Yes
391,Yes,2-Day Shipping,Yes,Yes
392,Yes,Standard,Yes,Yes
393,Yes,Next Day Air,Yes,Yes
394,Yes,Standard,Yes,Yes
395,Yes,Store Pickup,Yes,Yes
396,Yes,Store Pickup,Yes,Yes
397,Yes,Standard,Yes,Yes
398,Yes,Free Shipping,Yes,Yes
399,Yes,Free Shipping,Yes,Yes
400,Yes,2-Day Shipping,Yes,Yes
401,Yes,Free Shipping,Yes,Yes
402,Yes,Standard,Yes,Yes
403,Yes,Express,Yes,Yes
404,Yes,Next Day Air,Yes,Yes
405,Yes,Store Pickup,Yes,Yes
406,Yes,Standard,Yes,Yes
407,Yes,Express,Yes,Yes
408,Yes,Next Day Air,Yes,Yes
409,Yes,Express,Yes,Yes
410,Yes,2-Day Shipping,Yes,Yes
411,Yes,2-Day Shipping,Yes,Yes
412,Yes,Express,Yes,Yes
413,Yes,Store Pickup,Yes,Yes
414,Yes,Free Shipping,Yes,Yes
415,Yes,Store Pickup,Yes,Yes
416,Yes,Express,Yes,Yes
417,Yes,Free Shipping,Yes,Yes
418,Yes,Free Shipping,Yes,Yes
419,Yes,Standard,Yes,Yes
420,Yes,Free Shipping,Yes,Yes
421,Yes,Free Shipping,Yes,Yes
422,Yes,Standard,Yes,Yes
423,Yes,Store Pickup,Yes,Yes
424,Yes,Store Pickup,Yes,Yes
425,Yes,Standard,Yes,Yes
426,Yes,Store Pickup,Yes,Yes
427,Yes,Express,Yes,Yes
428,Yes,Store Pickup,Yes,Yes
429,Yes,Free Shipping,Yes,Yes
430,Yes,2-Day Shipping,Yes,Yes
431,Yes,Store Pickup,Yes,Yes
432,Yes,Store Pickup,Yes,Yes
433,Yes,Free Shipping,Yes,Yes
434,Yes,Store Pickup,Yes,Yes
435,Yes,Store Pickup,Yes,Yes
436,Yes,Next Day Air,Yes,Yes
437,Yes,Free Shipping,Yes,Yes
438,Yes,Next Day Air,Yes,Yes
439,Yes,Express,Yes,Yes
440,Yes,Free Shipping,Yes,Yes
441,Yes,Store Pickup,Yes,Yes
442,Yes,Standard,Yes,Yes
443,Yes,Store Pickup,Yes,Yes
444,Yes,Free Shipping,Yes,Yes
445,Yes,Store Pickup,Yes,Yes
446,Yes,Standard,Yes,Yes
447,Yes,Store Pickup,Yes,Yes
448,Yes,Standard,Yes,Yes
449,Yes,Next Day Air,Yes,Yes
450,Yes,2-Day Shipping,Yes,Yes
451,Yes,Store Pickup,Yes,Yes
452,Yes,Express,Yes,Yes
453,Yes,Express,Yes,Yes
454,Yes,Next Day Air,Yes,Yes
455,Yes,Next Day Air,Yes,Yes
456,Yes,Store Pickup,Yes,Yes
457,Yes,2-Day Shipping,Yes,Yes
458,Yes,Next Day Air,Yes,Yes
459,Yes,2-Day Shipping,Yes,Yes
460,Yes,Standard,Yes,Yes
461,Yes,Store Pickup,Yes,Yes
462,Yes,Express,Yes,Yes
463,Yes,Express,Yes,Yes
464,Yes,Standard,Yes,Yes
465,Yes,Next Day Air,Yes,Yes
466,Yes,Next Day Air,Yes,Yes
467,Yes,Free Shipping,Yes,Yes
468,Yes,2-Day Shipping,Yes,Yes
469,Yes,Free Shipping,Yes,Yes
470,Yes,2-Day Shipping,Yes,Yes
471,Yes,Express,Yes,Yes
472,Yes,2-Day Shipping,Yes,Yes
473,Yes,Free Shipping,Yes,Yes
474,Yes,Store Pickup,Yes,Yes
475,Yes,2-Day Shipping,Yes,Yes
476,Yes,Free Shipping,Yes,Yes
477,Yes,Free Shipping,Yes,Yes
478,Yes,Free Shipping,Yes,Yes
479,Yes,Free Shipping,Yes,Yes
480,Yes,Store Pickup,Yes,Yes
481,Yes,Standard,Yes,Yes
482,Yes,2-Day Shipping,Yes,Yes
483,Yes,2-Day Shipping,Yes,Yes
484,Yes,Store Pickup,Yes,Yes
485,Yes,Free Shipping,Yes,Yes
486,Yes,Next Day Air,Yes,Yes
487,Yes,Store Pickup,Yes,Yes
488,Yes,Store Pickup,Yes,Yes
489,Yes,Standard,Yes,Yes
490,Yes,Standard,Yes,Yes
491,Yes,2-Day Shipping,Yes,Yes
492,Yes,2-Day Shipping,Yes,Yes
493,Yes,Standard,Yes,Yes
494,Yes,Store Pickup,Yes,Yes
495,Yes,Express,Yes,Yes
496,Yes,Free Shipping,Yes,Yes
497,Yes,Express,Yes,Yes
498,Yes,Free Shipping,Yes,Yes
499,Yes,Free Shipping,Yes,Yes
500,Yes,Express,Yes,Yes
501,Yes,Next Day Air,Yes,Yes
502,Yes,Next Day Air,Yes,Yes
503,Yes,Express,Yes,Yes
504,Yes,Next Day Air,Yes,Yes
505,Yes,Free Shipping,Yes,Yes
506,Yes,Express,Yes,Yes
507,Yes,2-Day Shipping,Yes,Yes
508,Yes,Store Pickup,Yes,Yes
509,Yes,Store Pickup,Yes,Yes
510,Yes,Free Shipping,Yes,Yes
511,Yes,2-Day Shipping,Yes,Yes
512,Yes,Free Shipping,Yes,Yes
513,Yes,Next Day Air,Yes,Yes
514,Yes,Store Pickup,Yes,Yes
515,Yes,Standard,Yes,Yes
516,Yes,Next Day Air,Yes,Yes
517,Yes,2-Day Shipping,Yes,Yes
518,Yes,Free Shipping,Yes,Yes
519,Yes,Next Day Air,Yes,Yes
520,Yes,2-Day Shipping,Yes,Yes
521,Yes,Free Shipping,Yes,Yes
522,Yes,Standard,Yes,Yes
523,Yes,Store Pickup,Yes,Yes
524,Yes,Express,Yes,Yes
525,Yes,Free Shipping,Yes,Yes
526,Yes,Next Day Air,Yes,Yes
527,Yes,Standard,Yes,Yes
528,Yes,Next Day Air,Yes,Yes
529,Yes,Express,Yes,Yes
530,Yes,Standard,Yes,Yes
531,Yes,Store Pickup,Yes,Yes
532,Yes,Next Day Air,Yes,Yes
533,Yes,Express,Yes,Yes
534,Yes,Next Day Air,Yes,Yes
535,Yes,Next Day Air,Yes,Yes
536,Yes,Free Shipping,Yes,Yes
537,Yes,Store Pickup,Yes,Yes
538,Yes,Store Pickup,Yes,Yes
539,Yes,Free Shipping,Yes,Yes
540,Yes,Store Pickup,Yes,Yes
541,Yes,Next Day Air,Yes,Yes
542,Yes,Next Day Air,Yes,Yes
543,Yes,Next Day Air,Yes,Yes
544,Yes,Express,Yes,Yes
545,Yes,Standard,Yes,Yes
546,Yes,2-Day Shipping,Yes,Yes
547,Yes,Free Shipping,Yes,Yes
548,Yes,Free Shipping,Yes,Yes
549,Yes,Store Pickup,Yes,Yes
550,Yes,Express,Yes,Yes
551,Yes,Store Pickup,Yes,Yes
552,Yes,2-Day Shipping,Yes,Yes
553,Yes,Express,Yes,Yes
554,Yes,Express,Yes,Yes
555,Yes,Express,Yes,Yes
556,Yes,Express,Yes,Yes
557,Yes,Store Pickup,Yes,Yes
558,Yes,Free Shipping,Yes,Yes
559,Yes,Express,Yes,Yes
560,Yes,Store Pickup,Yes,Yes
561,Yes,Free Shipping,Yes,Yes
562,Yes,Next Day Air,Yes,Yes
563,Yes,Standard,Yes,Yes
564,Yes,Standard,Yes,Yes
565,Yes,Next Day Air,Yes,Yes
566,Yes,Store Pickup,Yes,Yes
567,Yes,Store Pickup,Yes,Yes
568,Yes,Next Day Air,Yes,Yes
569,Yes,Free Shipping,Yes,Yes
570,Yes,Express,Yes,Yes
571,Yes,Standard,Yes,Yes
572,Yes,Free Shipping,Yes,Yes
573,Yes,Next Day Air,Yes,Yes
574,Yes,2-Day Shipping,Yes,Yes
575,Yes,Free Shipping,Yes,Yes
576,Yes,Express,Yes,Yes
577,Yes,2-Day Shipping,Yes,Yes
578,Yes,Store Pickup,Yes,Yes
579,Yes,Next Day Air,Yes,Yes
580,Yes,Free Shipping,Yes,Yes
581,Yes,Free Shipping,Yes,Yes
582,Yes,Store Pickup,Yes,Yes
583,Yes,Store Pickup,Yes,Yes
584,Yes,Store Pickup,Yes,Yes
585,Yes,Free Shipping,Yes,Yes
586,Yes,Next Day Air,Yes,Yes
587,Yes,2-Day Shipping,Yes,Yes
588,Yes,Express,Yes,Yes
589,Yes,Standard,Yes,Yes
590,Yes,2-Day Shipping,Yes,Yes
591,Yes,Standard,Yes,Yes
592,Yes,Store Pickup,Yes,Yes
593,Yes,Free Shipping,Yes,Yes
594,Yes,Store Pickup,Yes,Yes
595,Yes,Next Day Air,Yes,Yes
596,Yes,Next Day Air,Yes,Yes
597,Yes,Store Pickup,Yes,Yes
598,Yes,Standard,Yes,Yes
599,Yes,2-Day Shipping,Yes,Yes
600,Yes,Standard,Yes,Yes
601,Yes,2-Day Shipping,Yes,Yes
602,Yes,Store Pickup,Yes,Yes
603,Yes,Next Day Air,Yes,Yes
604,Yes,2-Day Shipping,Yes,Yes
605,Yes,Store Pickup,Yes,Yes
606,Yes,Standard,Yes,Yes
607,Yes,Standard,Yes,Yes
608,Yes,Next Day Air,Yes,Yes
609,Yes,Next Day Air,Yes,Yes
610,Yes,Next Day Air,Yes,Yes
611,Yes,Free Shipping,Yes,Yes
612,Yes,Store Pickup,Yes,Yes
613,Yes,Express,Yes,Yes
614,Yes,Standard,Yes,Yes
615,Yes,Standard,Yes,Yes
616,Yes,Next Day Air,Yes,Yes
617,Yes,Free Shipping,Yes,Yes
618,Yes,Standard,Yes,Yes
619,Yes,Express,Yes,Yes
620,Yes,Store Pickup,Yes,Yes
621,Yes,2-Day Shipping,Yes,Yes
622,Yes,Store Pickup,Yes,Yes
623,Yes,Next Day Air,Yes,Yes
624,Yes,Standard,Yes,Yes
625,Yes,Express,Yes,Yes
626,Yes,Next Day Air,Yes,Yes
627,Yes,Standard,Yes,Yes
628,Yes,Express,Yes,Yes
629,Yes,2-Day Shipping,Yes,Yes
630,Yes,Standard,Yes,Yes
631,Yes,2-Day Shipping,Yes,Yes
632,Yes,Store Pickup,Yes,Yes
633,Yes,Next Day Air,Yes,Yes
634,Yes,Express,Yes,Yes
635,Yes,Standard,Yes,Yes
636,Yes,2-Day Shipping,Yes,Yes
637,Yes,Store Pickup,Yes,Yes
638,Yes,2-Day Shipping,Yes,Yes
639,Yes,Express,Yes,Yes
640,Yes,2-Day Shipping,Yes,Yes
641,Yes,Store Pickup,Yes,Yes
642,Yes,2-Day Shipping,Yes,Yes
643,Yes,2-Day Shipping,Yes,Yes
644,Yes,Next Day Air,Yes,Yes
645,Yes,Next Day Air,Yes,Yes
646,Yes,Express,Yes,Yes
647,Yes,Standard,Yes,Yes
648,Yes,Express,Yes,Yes
649,Yes,Store Pickup,Yes,Yes
650,Yes,Store Pickup,Yes,Yes
651,Yes,Next Day Air,Yes,Yes
652,Yes,Next Day Air,Yes,Yes
653,Yes,Free Shipping,Yes,Yes
654,Yes,2-Day Shipping,Yes,Yes
655,Yes,2-Day Shipping,Yes,Yes
656,Yes,Free Shipping,Yes,Yes
657,Yes,Standard,Yes,Yes
658,Yes,Free Shipping,Yes,Yes
659,Yes,Store Pickup,Yes,Yes
660,Yes,2-Day Shipping,Yes,Yes
661,Yes,2-Day Shipping,Yes,Yes
662,Yes,Store Pickup,Yes,Yes
663,Yes,Express,Yes,Yes
664,Yes,Express,Yes,Yes
665,Yes,Express,Yes,Yes
666,Yes,2-Day Shipping,Yes,Yes
667,Yes,Free Shipping,Yes,Yes
668,Yes,Standard,Yes,Yes
669,Yes,Express,Yes,Yes
670,Yes,Free Shipping,Yes,Yes
671,Yes,Next Day Air,Yes,Yes
672,Yes,Express,Yes,Yes
673,Yes,2-Day Shipping,Yes,Yes
674,Yes,Free Shipping,Yes,Yes
675,Yes,Store Pickup,Yes,Yes
676,Yes,2-Day Shipping,Yes,Yes
677,Yes,2-Day Shipping,Yes,Yes
678,Yes,Express,Yes,Yes
679,Yes,Store Pickup,Yes,Yes
680,Yes,Express,Yes,Yes
681,Yes,Express,Yes,Yes
682,Yes,2-Day Shipping,Yes,Yes
683,Yes,Standard,Yes,Yes
684,Yes,Free Shipping,Yes,Yes
685,Yes,Express,Yes,Yes
686,Yes,Standard,Yes,Yes
687,Yes,2-Day Shipping,Yes,Yes
688,Yes,Free Shipping,Yes,Yes
689,Yes,Store Pickup,Yes,Yes
690,Yes,Express,Yes,Yes
691,Yes,Standard,Yes,Yes
